"
17",Livada Postei,  2 min.
"
32",Gara Brasov,  4 min.
"
5",Stadionul Municipal,  5 min.
"
35",Gara Brasov,  10 min.
"
31",Livada Postei,  10 min.
"
7",Rulmentul,  15 min.
"
3",Stadionul Tineretului,  46 min.
